Hochdeutsch,IPA_Dialekt,Rang,IBM_Prob,Expected_Count,Hard_Count,Sentence_Support,Score,Avg_Position_Distance,HD_Gesamt_Haeufigkeit,IPA_Gesamt_Haeufigkeit
und,ʊnt,1,0.999422,143.8526,145,143,4.972842,0.0525,338,169
die,diː,1,0.945889,154.5742,161,152,4.774015,0.0945,921,322
es,ɛs,1,0.974039,101.7704,106,105,4.512232,0.0376,293,211
für,fyːɾ,1,0.996072,84.9041,85,83,4.435741,0.0617,238,108
sich,zɪç,1,0.997988,72.703,73,72,4.29139,0.0569,204,85
ich,ɪç,1,0.991382,69.4041,70,68,4.217587,0.0263,207,149
im,ɪm,1,0.881895,78.1855,81,80,3.855463,0.0577,199,123
in,ɪn,1,0.924548,62.1786,73,68,3.833143,0.0868,322,324
als,als,1,0.999951,44.9737,45,43,3.827881,0.0543,87,54
werden,vɛɾdə,1,0.990521,45.9228,46,45,3.812025,0.0293,157,48
hat,hɛt,1,0.997556,44.3592,45,45,3.805289,0.06,133,115
nach,nɔx,1,0.999993,32.9645,33,32,3.525291,0.0541,61,48
der,dɛɾ,1,0.746164,107.1529,116,115,3.494694,0.0823,687,284
zum,tsʊm,1,0.999991,29.9536,30,30,3.43246,0.0637,57,39
auch,aʊ,1,0.934626,34.9606,35,35,3.348228,0.0485,224,36
mit,mɪt,1,0.870133,45.5337,46,45,3.341465,0.0721,160,58
den,dɛɾ,1,0.801622,43.1288,45,41,3.035833,0.0984,256,284
er,ɛɾ,1,0.871397,28.9349,29,29,2.961902,0.0267,139,80
zu,tsuː,1,0.915875,21.9255,22,22,2.868746,0.057,173,45
sind,zɪnt,1,0.76856,33.8687,34,33,2.729609,0.0354,146,59
bei,biː,1,0.956622,15.9957,16,16,2.710071,0.0425,86,38
vom,fɔm,1,0.999504,12.8134,13,13,2.624335,0.0549,20,58
des,fɔm,1,0.7381,29.3241,30,30,2.518355,0.0733,84,58
haben,hɛnt,1,0.717217,23.8846,24,24,2.305317,0.0497,103,47
ab,ap,1,0.923003,9.9991,10,10,2.213185,0.0179,29,10
