Hochdeutsch,IPA_Dialekt,IPA_Gesamt_Häufigkeit,HD_Gesamt_Häufigkeit,Gemeinsame_Treffer,Kokkurrenz_Rate,IPA_Kokkurrenz_Rate,PMI,Runde
und,ʊnt,169,338,143,0.4347,0.8614,3.0135,1
es,ɛs,211,293,107,0.3702,0.522,2.4776,2
für,fyːɾ,108,238,84,0.359,0.7925,3.3846,3
im,ɪm,123,199,80,0.4061,0.6667,3.3836,4
sich,zɪç,85,204,72,0.3547,0.8675,3.7201,5
ich,ɪç,149,207,68,0.3285,0.469,2.8047,6
mit,mɪt,58,160,45,0.283,0.7895,3.9367,7
werden,vɛɾdə,48,157,45,0.2866,0.9574,4.2332,8
hat,hɛt,115,133,45,0.3409,0.3913,3.1926,9
als,als,54,87,43,0.5,0.8269,4.8901,10
auch,aʊ,36,224,35,0.157,0.9722,3.749,11
sind,zɪnt,59,146,34,0.2345,0.5862,3.6402,12
nach,nɔx,48,61,32,0.5246,0.6809,5.1053,13
des,fɔm,58,84,30,0.3571,0.5172,4.2472,14
zum,tsʊm,39,57,30,0.5263,0.7692,5.3792,15
er,ɛɾ,80,139,29,0.2086,0.3816,3.0817,16
wir,miːɾ,35,229,28,0.125,0.8,3.4613,17
sie,ziː,55,193,27,0.1421,0.5094,3.0477,18
haben,hɛnt,47,103,24,0.233,0.5217,3.9655,19
zu,tsuː,45,173,22,0.1287,0.4889,3.1403,20
auf,ɔf,24,143,19,0.1348,0.7917,4.114,21
wird,viːɾt,26,127,19,0.1496,0.7308,4.1494,22
so,zoː,31,90,19,0.2159,0.6333,4.4722,23
doch,dɔx,26,67,18,0.2687,0.6923,4.994,24
dass,das,70,60,18,0.3,0.2727,3.8092,25
bei,biː,38,86,16,0.1882,0.4211,3.9333,26
am,am,19,92,16,0.1758,0.8421,4.8349,27
wie,viːɾ,50,58,15,0.2586,0.3,3.9956,28
dann,dɛn,61,51,14,0.2745,0.2373,3.8429,29
mehr,meː,22,76,14,0.1867,0.6364,4.7097,30
aus,ʊs,17,85,13,0.1548,0.7647,4.8112,31
vom,fɔm,58,20,13,0.65,0.4643,6.1617,32
dafür,fyːɾ,108,32,12,0.375,0.5455,5.7161,33
bereits,bəraɪts,12,37,12,0.3243,1.0,6.3811,34
diese,diːɾ,36,87,12,0.1379,0.3529,3.6451,35
hatte,hɛt,115,31,12,0.3871,0.1714,4.0921,36
dabei,biː,38,35,11,0.3143,0.5,5.4613,37
nur,nuːɾ,13,70,11,0.1571,0.8462,5.2203,38
ganz,gants,12,24,11,0.4583,0.9167,6.8801,39
um,ʊm,27,55,11,0.2,0.4074,4.5138,40
war,ɪç,149,89,11,0.1236,0.1429,2.3075,41
alles,ɑːləs,10,36,10,0.2778,1.0,6.4207,42
ab,ap,10,29,10,0.3448,1.0,6.7326,43
wurde,ɪç,149,73,9,0.1233,0.1364,2.5263,44
viel,fiːl,18,30,9,0.3,0.5,5.6837,45
mich,mɪç,14,43,9,0.2093,0.6429,5.5269,46
uns,yːs,10,57,9,0.1579,0.9,5.6057,47
zwei,tsvaɪ,21,40,8,0.2,0.4211,5.0207,48
wurden,zɪnt,59,40,8,0.2,0.3333,4.6837,49
andere,andərə,21,23,8,0.3478,0.381,5.6747,50
vor,fɔɾ,57,66,7,0.1061,0.125,2.5462,51
anderen,andərə,21,16,7,0.4375,0.5385,6.6975,52
budget,byːtʃə,8,15,7,0.5,0.875,7.5906,53
zeit,tsiːt,13,22,7,0.3182,0.5385,6.2381,54
macht,maxt,14,19,7,0.3684,0.5,6.3427,55
viele,fiːl,18,22,6,0.2727,0.6667,6.5462,56
was,vas,8,32,6,0.1875,0.75,6.1755,57
beim,bɪm,7,27,6,0.2308,0.8571,6.6678,58
immer,ɪm,123,35,6,0.1714,0.15,3.7243,59
bis,bɪs,11,32,6,0.1875,0.5455,5.7161,60
prozent,pɔtsɛnt,7,33,6,0.1818,0.8571,6.3238,61
beiden,baɪdə,9,16,6,0.375,0.6667,7.0056,62
geschäft,gʃɛft,10,10,6,0.6,0.6667,7.6837,63
gemacht,gmaxt,10,14,6,0.4286,0.6,7.0463,64
nie,niːɾ,8,14,5,0.3571,0.625,7.1052,65
neue,nɔø,12,23,5,0.2174,0.4167,5.804,66
dieses,deːm,35,33,5,0.1515,0.1429,3.7388,67
